Location Name,Latitude,Longitude,Dysfunctional,Parameter,Number of Basins,Order of Drainage,Parameter ID/GW,S/N,Station ID,Identifier ,Basin
Nakasongola,1.314,32.464,,GW_,8,2,4,012,824012,GW_824012,Lake Kyoga
Pallisa,1.185,33.712,,GW_,8,2,4,013,824013,GW_824013,Lake Kyoga
Serere,1.542,33.474,,GW_,8,2,4,014,824014,GW_824014,Lake Kyoga
Soroti,1.747,33.615,,GW_,8,2,4,015,824015,GW_824015,Lake Kyoga
Apac,1.998,32.712,,GW_,8,3,4,001,834001,GW_834001,Kyoga Nile
Bombo-Lukole,0.581139,32.533339,,GW_,8,3,4,002,834002,GW_834002,Kyoga Nile
Kiboga,0.90935,31.77844,,GW_,8,3,4,003,834003,GW_834003,Kyoga Nile
Masindi-Kimengo,1.56932,31.95814,,GW_,8,3,4,004,834004,GW_834004,Kyoga Nile
Wobulenzi,0.73051,32.52917,,GW_,8,3,4,005,834005,GW_834005,Kyoga Nile
"Galilaya P/S, Kamwenge",0.12083,30.4886,,GW_,8,4,4,001,844001,GW_844001,Lake Edward
Ibanda (District HQ),-0.13165,30.49082,,GW_,8,4,4,002,844002,GW_844002,Lake Edward
"Kabambiro at Kabambiro SS, Kamwenge",0.164025,30.55517,,GW_,8,4,4,003,844003,GW_844003,Lake Edward
Kasese (Hamukungu Health Center),0.01716,30.07852,,GW_,8,4,4,004,844004,GW_844004,Lake Edward
Rukungiri 1,-0.78635,29.93207,,GW_,8,4,4,005,844005,GW_844005,Lake Edward
Hoima (NWSC Works),1.43223,31.36211,,GW_,8,5,4,001,854001,GW_854001,Lake Albert
Hoima Hospital,1.43,31.34,*,GW_,8,5,4,002,854002,GW_854002,Lake Albert
Kyegegwa,0.48349,31.05332,,GW_,8,5,4,003,854003,GW_854003,Lake Albert
Rwebisengo,1.04831,30.26604,,GW_,8,5,4,004,854004,GW_854004,Lake Albert
Abim (Katabok Municipality),2.59562,33.72211,,GW_,8,6,4,001,864001,GW_864001,River Aswa
Abim (Morelum),2.59188,33.66105,,GW_,8,6,4,002,864002,GW_864002,River Aswa
Alebtong,2.26471,33.23341,,GW_,8,6,4,003,864003,GW_864003,River Aswa
Kitgum (Kitgum Town),3.29833,32.88292,,GW_,8,6,4,004,864004,GW_864004,River Aswa
Otuke,2.40595,33.23341,,GW_,8,6,4,005,864005,GW_864005,River Aswa
Pader (Pader Municipality),2.86961,33.08723,,GW_,8,6,4,006,864006,GW_864006,River Aswa
Amuru (Atiak),3.26077,32.12032,,GW_,8,7,4,001,874001,GW_874001,Albert Nile
Gulu (Gulu Town Water office),2.78307,32.29388,,GW_,8,7,4,002,874002,GW_874002,Albert Nile
Laropi,3.56279,31.81129,,GW_,8,7,4,003,874003,GW_874003,Albert Nile
Maracha,3.2821,30.95232,,GW_,8,7,4,004,874004,GW_874004,Albert Nile
Nebbi (Packwatch Town at NWSC),2.45627,31.48193,,GW_,8,7,4,005,874005,GW_874005,Albert Nile
